// FoldWatcher
// ---------------------
// Coded by Dr.K@meleon <drkameleon@hotmail.com>
// 
// homepage : http://kameleon-nest.blogspot.com
//            http://sourceforge.net/projects/foldwatcher/
// ============================
// Filename : wus_list.dat
// Last Update : 17/05/2008
//
// -----------------------------------------------------------------
// This program is free software: you can redistribute it and/or modify
// it under the terms of the GNU General Public License as published by
// the Free Software Foundation, either version 3 of the License, or
// (at your option) any later version.
//
// This program is distributed in the hope that it will be useful,
// but WITHOUT ANY WARRANTY; without even the implied warranty of
// MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
// GNU General Public License for more details.
//
// You should have received a copy of the GNU General Public License
// along with this program.  If not, see <http://www.gnu.org/licenses/>.
//
// Copyright (C) 2008 by Dr.K@meleon
// ========================================================

100||villin|0|0.00|6.00|2.00|0||Gastrointestinal tumors and Adenocarcinomas|
758|171.64.122.130|p758_vln3.8nopbc|17185|7.00|0.00|35.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|vvishal|
759|171.64.122.130|p759_vln3.8-0.2nopbc|18766|8.00|0.00|40.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|vvishal|
760|171.64.122.130|p760_vln3.8-0.4nopbc|15787|6.00|0.00|32.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|vvishal|
761|171.64.122.138|p761_vln3.3pbc|31465|27.00|0.00|135.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|dlucent|
762|171.64.122.138|p762_vln3.3nopbc|10723|9.00|0.00|41.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|dlucent|
763|171.64.122.138|p763_vln3.3-0.2nopbc|11863|11.00|0.00|48.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|vvishal|
764|171.64.122.138|p764_vln3.3-0.4nopbc|9718|9.00|0.00|39.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|dlucent|
768|171.64.122.138|p768_vln3.8pbc|47413|24.00|0.00|120.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|dlucent|
769|171.64.122.138|p769_vln3.8nopbc|17185|8.00|0.00|36.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|dlucent|
770|171.64.122.138|p770_vln3.8-0.2nopbc|18766|10.00|0.00|41.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|dlucent|
771|171.64.122.138|p771_vln3.8-0.4nopbc|15787|8.00|0.00|33.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|dlucent|
772|171.64.122.130|p772_vln2.8pbc-com|19399|300.00|-0.00|149.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|vvishal|
773|171.64.122.130|p773_vln2.8nopbc-com|6115|300.00|-0.00|44.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|vvishal|
774|171.64.122.138|p774_vln3.3nopbc|10723|9.00|0.00|41.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|dlucent|
775|171.64.122.138|p775_vln3.8pbc|47413|24.00|0.00|120.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|dlucent|
776|171.64.122.138|p776_vln3.8nopbc|17185|8.00|0.00|36.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|dlucent|
800|171.65.103.157|p800_p53dimer800|12215|30.00|44.00|155.00|100|GROMACS|Tumour Supression|ltchong|
801|171.65.103.157|p801_p53dimer801|12221|30.00|44.00|155.00|100|GROMACS|Tumour Supression|ltchong|
802|171.67.89.150|p802_p53dimer802|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
803|171.67.89.150|p803_p53dimer803|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
804|171.67.89.150|p804_p53dimer804|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
805|171.67.89.150|p805_p53dimer805|12248|0.00|14.00|54.00|100|GROMACS|Tumour Supression||
806|171.67.89.150||12248|0.00|14.00|54.00|100|GROMACS|Tumour Supression||
807|171.67.89.150|p807_p53dimer807|12248|0.00|14.00|54.00|100|GROMACS|Tumour Supression||
808|171.67.89.150|p808_p53dimer808|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
809|171.67.89.150|p809_p53dimer809|12248|0.00|14.00|54.00|100|GROMACS|Tumour Supression||
810|171.67.89.150|p810_p53dimer810|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
811|171.67.89.150|p811_p53dimer811|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
812|171.67.89.150|p812_p53dimer811|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
813|171.67.89.150|p813_p53dimer813|12248|4.00|24.00|32.00|100|GROMACS|Tumour Supression||
814|171.67.89.150|p814_p53dimer814|12245|4.00|24.00|32.00|100|GROMACS|Tumour Supression||
815|171.67.89.150|p815_p53dimer815|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
816|171.67.89.150|p816_p53dimer816|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
817|171.67.89.150|p817_p53dimer817|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
818|171.67.89.150|p818_p53dimer818|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
819|171.67.89.150|p819_p53dimer819|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
820|171.67.89.150|p820_p53dimer820|12248|0.00|12.00|32.00|100|GROMACS|Tumour Supression||
821|171.67.89.150|p821_p53dimer821|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
822|171.67.89.150|p822_p53dimer822|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
823|171.67.89.150|p823_p53dimer823|12239|4.00|24.00|32.00|100|GROMACS|Tumour Supression||
824|171.67.89.150|p824_p53dimer824|12227|4.00|24.00|32.00|100|GROMACS|Tumour Supression||
825|171.67.89.150|p825_p53dimer825|12233|4.00|24.00|32.00|100|GROMACS|Tumour Supression||
826|171.67.89.150|p826_p53dimer826|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
827|171.67.89.150|p827_p53dimer827|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
828|171.67.89.150|p828_p53dimer828|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
829|171.67.89.150|p829_p53dimer829|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
830|171.67.89.150|p830_p53dimer830|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
831|171.67.89.150|p831_p53dimer831|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
832|171.67.89.150|p832_p53dimer832|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
833|171.67.89.150|p833_p53dimer833|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
834|171.67.89.150|p834_p53dimer834|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
835|171.67.89.150|p835_p53dimer835|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
836|171.67.89.150|p836_p53dimer836|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
837|171.67.89.150|p837_p53dimer837|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
838|171.67.89.150|p838_p53dimer838|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
839|171.67.89.150|p839_p53monomer839|16516|0.00|15.00|40.00|100|GROMACS|Tumour Supression||
840|171.67.89.150|p840_p53mon840|6421|0.00|4.00|11.00|100|GROMACS|Tumour Supression||
841|171.67.89.150|p841_p53dimer841|12248|0.00|12.00|32.00|100|GROMACS|Tumour Supression||
842|171.67.89.150|p842_p53dimer842|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
843|171.67.89.150|p843_p53dimer843|12248|0.00|8.00|32.00|100|GROMACS|Tumour Supression||
844|171.67.89.150|p844_p53mon844|6421|0.00|4.00|11.00|100|GROMACS|Tumour Supression||
845|171.67.89.150|p845_p53dimer845|12206|4.00|24.00|32.00|100|GROMACS|Tumour Supression||
846|171.67.89.150|p846_p53dimer846|12218|4.00|24.00|32.00|100|GROMACS|Tumour Supression||
847|171.67.89.150|p847_p53dimer847|12212|4.00|24.00|32.00|100|GROMACS|Tumour Supression||
848|171.67.89.150|p848_p53dimer848|12215|4.00|24.00|32.00|100|GROMACS|Tumour Supression||
849|171.67.89.150|p849_p53dimer849|12221|4.00|24.00|32.00|100|GROMACS|Tumour Supression||
850|171.67.89.150|p850_p53dimer850|12224|4.00|24.00|32.00|100|GROMACS|Tumour Supression||
851|171.67.89.150|p851_p53tet851|12286|7.00|14.00|35.00|100|GROMACS|Tumour Supression||
852|171.67.89.150|p852_p53dimer852|12248|4.00|24.00|32.00|100|GROMACS|Tumour Supression||
853|171.67.89.150|p853_p53dimer853|12248|4.00|24.00|32.00|100|GROMACS|Tumour Supression||
854|171.64.122.121|p854_p53dimer854|12248|30.00|44.00|155.00|100|GROMACS|Tumour Supression|ltchong|
855|171.64.122.108|p855_p53dimer855|12239|28.00|40.00|141.00|100|GROMACS|Tumour Supression|ltchong|
856|171.64.122.108|p856_p53dimer856|12227|28.00|40.00|141.00|100|GROMACS|Tumour Supression|ltchong|
857|171.64.122.108|p857_p53dimer857|12233|28.00|40.00|141.00|100|GROMACS|Tumour Supression|ltchong|
858|171.65.103.156|p858_p53dimer858|12248|30.00|43.00|152.00|100|GROMACS|Tumour Supression|ltchong|
859|171.65.103.156|p859_p53dimer859|12248|30.00|43.00|153.00|100|GROMACS|Tumour Supression|ltchong|
860|171.64.122.121|p860_p53dimer860|12179|8.00|10.00|31.00|100|GROMACS|Tumour Supression|ltchong|
861|171.64.122.121|p861_p53dimer861|12212|8.00|10.00|31.00|100|GROMACS|Tumour Supression|ltchong|
862|171.64.122.121|p862_p53dimer862|12194|8.00|10.00|31.00|100|GROMACS|Tumour Supression|ltchong|
863|171.64.122.121|p863_p53dimer863|12197|8.00|10.00|31.00|100|GROMACS|Tumour Supression|ltchong|
864|171.64.122.108|p864_p53dimer864|12179|30.00|44.00|155.00|100|GROMACS|Tumour Supression|ltchong|
865|171.64.122.108|p865_p53dimer865|12212|30.00|44.00|155.00|100|GROMACS|Tumour Supression|ltchong|
866|171.64.122.108|p866_p53dimer866|12194|30.00|44.00|155.00|100|GROMACS|Tumour Supression|ltchong|
867|171.64.122.108|p867_p53dimer867|12197|30.00|44.00|155.00|100|GROMACS|Tumour Supression|ltchong|
868|171.64.122.108|p868_p53dimer868|12239|29.00|43.00|150.00|100|GROMACS|Tumour Supression|ltchong|
869|171.64.122.108|p869_p53dimer869|12227|29.00|43.00|150.00|100|GROMACS|Tumour Supression|ltchong|
870|171.64.122.108|p870_p53dimer870|12233|29.00|43.00|150.00|100|GROMACS|Tumour Supression|ltchong|
871|171.64.122.108|p871_p53tet871|12286|32.00|47.00|164.00|100|GROMACS|Tumour Supression|ltchong|
872|171.65.103.157|p872_p53dimer872|12179|6.00|9.00|31.00|100|GROMACS|Tumour Supression|ltchong|
873|171.65.103.157|p873_p53dimer873|12173|6.00|9.00|31.00|100|GROMACS|Tumour Supression|ltchong|
874|171.65.103.157|p874_p53dimer874|12230|30.00|45.00|155.00|100|GROMACS|Tumour Supression|ltchong|
875|171.65.103.157|p875_p53dimer875|12230|30.00|45.00|155.00|100|GROMACS|Tumour Supression|ltchong|
876|171.65.103.157|p876_p53dimer876|12248|27.00|39.00|136.00|100|GROMACS|Tumour Supression|ltchong|
877|171.65.103.157|p877_p53mut877|12223|30.00|44.00|155.00|100|GROMACS|Tumour Supression|ltchong|
878|171.65.103.157|p878_p53dimer878|12247|27.00|39.00|136.00|100|GROMACS|Tumour Supression|ltchong|
879|171.65.103.157|p879_p53dimer879|12248|27.00|39.00|136.00|100|GROMACS|Tumour Supression|ltchong|
880|171.65.103.157|p880_p53dimer880|12247|27.00|39.00|136.00|100|GROMACS|Tumour Supression|ltchong|
881|171.65.103.157|p881_p53dimer881|12248|27.00|39.00|136.00|100|GROMACS|Tumour Supression|ltchong|
882|171.65.103.157|p882_p53dimer882|12247|27.00|39.00|136.00|100|GROMACS|Tumour Supression|ltchong|
883|171.65.103.157|p883_p53dimer883|12248|30.00|44.00|155.00|100|GROMACS|Tumour Supression|ltchong|
884|171.65.103.157|p884_p53dimer884|12248|27.00|39.00|136.00|100|GROMACS|Tumour Supression|ltchong|
885|171.65.103.157|p885_p53dimer885|12248|27.00|39.00|136.00|100|GROMACS|Tumour Supression|ltchong|
886|171.65.103.157|p886_p53peptide886|6433|30.00|42.00|142.00|100|GROMACS|Tumour Supression|ltchong|
887|171.65.103.157|p887_p53peptide887|6403|30.00|42.00|142.00|100|GROMACS|Tumour Supression|ltchong|
888|171.65.103.157|p888_p53peptide888|6419|28.00|42.00|138.00|100|GROMACS|Tumour Supression|ltchong|
889|171.65.103.157|p889_p53dimer889|12248|54.00|78.00|272.00|100|GROMACS|Tumour Supression|ltchong|
890|171.65.103.157|p890_p53dimer890|12236|54.00|78.00|272.00|100|GROMACS|Tumour Supression|ltchong|
891|130.49.240.81|p891_p53wtpeptide_tip3p|6232|32.00|48.00|174.00|100|AMBER||ltchong|
892|130.49.240.81|p892_p53wtpeptide_gb|230|30.00|45.00|165.00|100|AMBER||ltchong|
901|||0|0.00|0.00|3.00|0||||
902|171.64.122.115|DE_NOVO_protein_in_water|198|0.00|10.00|5.00|0||General||
903|171.64.122.111|PTrpCage|8548|0.00|8.00|6.00|0||||
904|171.64.122.115|p904_nat_vill_capped|11273|0.00|35.00|0.00|0||Gastrointestinal tumors and Adenocarcinomas|
905|171.64.122.111|p905_villin_am|11281|0.00|14.00|13.00|10|GROMACS|Gastrointestinal tumors and Adenocarcinomas|
906|171.64.122.114|p906_villin_am|11281|0.00|14.00|13.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|
907|171.64.122.114|p907_villin_fo|11059|0.00|15.00|14.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|
908|171.64.122.114|p908_vill_rnxfld|11059|0.00|12.00|13.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|
909|171.64.122.144|p909_vill_str0|17614|9.00|13.00|41.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|guha|
910|171.64.122.144|p910_vill_str0_rf|17614|8.00|12.00|35.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|guha|
911|171.64.122.114|p911_vill_o|17545|0.00|14.00|60.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|
912|171.64.122.144|p912_vill_o|17545|0.00|14.00|60.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|
913|171.64.122.144|p913_vill_rf_o|17545|0.00|21.00|65.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|
914|171.67.89.151|p914_vpf909|17614|9.00|13.00|41.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|
915|171.67.89.151|p915_910nat|18520|9.00|12.00|37.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|
916|171.67.89.151|p916_909melt|18520|9.00|13.00|41.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|
917|171.67.89.151|p917_v2180pf909|17614|9.00|13.00|41.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|
918|171.67.89.151|p918_912nat|11011|8.00|10.00|31.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|
919|171.67.89.151|p919_913nat|11011|8.00|11.00|34.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|
920|171.67.89.151|p920_vpf910|17614|8.00|11.00|34.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|
921|171.67.89.151|p921_vpf912|17614|9.00|13.00|40.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|
922|171.67.89.151|p922_vpf913|17614|8.00|11.00|34.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|
923|171.67.89.151|p923_prot_a_nat|737|11.00|15.00|48.00|100|GROMACS|*Antibody Target|guha|
924|171.67.89.151|p924_prot_a_unf|737|11.00|15.00|48.00|100|GROMACS|*Antibody Target|guha|
925|171.67.89.151|p925_n910pf|17614|8.00|11.00|34.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|guha|
926|171.67.89.151|p926_n909pf|17614|9.00|13.00|41.00|100|GROMACS|Gastrointestinal tumors and Adenocarcinomas|guha|
927|171.67.89.153|p927_pa_sa_nat|737|16.00|25.00|91.00|100|GROMACS|*Antibody Target|guha|
928|171.67.89.153|p928_pa_sa_fold|737|16.00|25.00|91.00|100|GROMACS|*Antibody Target|guha|
929|171.64.122.132|p929_fk_lig_dup|1135|21.00|31.00|114.00|100|DGROMACS|General|guha|
930|171.65.103.151|p930_fkbound_l02|19716|20.00|29.00|99.00|100|DGROMACS|General|guha|
931|171.65.103.151|p931_fkbound_l14|20751|21.00|30.00|104.00|100|DGROMACS|General|guha|
932|171.65.103.151|p932_fkmd_all|14907|15.00|30.00|110.00|100|DGROMACS|General|guha|
933|171.65.103.151|p933_fkcomps|19717|22.00|33.00|112.00|100|DGROMACS|General|guha|
934|171.65.103.151|p934_fkfe_all|16132|15.00|30.00|107.00|100|DGROMACS|General|guha|
935|171.65.103.151|p935_LG2 in water|1558|14.00|21.00|68.00|100|DGROMACS|General|guha|
936|171.65.103.151|p936_fkfe2_all|14908|15.00|30.00|107.00|100|DGROMACS|General|guha|
937|171.67.89.153|p937_fecompH14|14908|16.00|23.00|78.00|100|DGROMACS|General|guha|
938|171.67.89.153|p938_fkmd_H14|14907|16.00|22.00|75.00|100|DGROMACS|General|guha|
939|171.64.122.132|p939_fk_comp_dup|16549|18.00|27.00|99.00|100|DGROMACS|General|guha|
940|171.67.89.151|p940_AK12|3008|4.00|10.00|12.00|100|GROMACS|General||
941|171.67.89.151|p941_AK12PP|11516|10.00|14.00|44.00|100|GROMACS|General||
942|171.67.89.151|p942_AK17|5177|6.00|10.00|21.00|100|GROMACS|General||
943|171.67.89.151|p943_AK22|8386|8.00|11.00|33.00|100|GROMACS|General||
944|171.67.89.151|p944_AK27|13187|11.00|16.00|52.00|100|GROMACS|General||
945|171.67.89.151|p945_AK32|18635|16.00|23.00|78.00|100|GROMACS|General||
946|171.67.89.151|p946_AK37|27048|24.00|34.00|119.00|100|GROMACS|General||
947|171.67.89.151|p947_AK42|35920|34.00|50.00|177.00|100|GROMACS|General||
948|171.65.103.153|p948_AKb12|2046|5.00|10.00|17.00|100|GROMACS|General|guha|
949|171.65.103.153|p949_AKb12PP|4821|9.00|12.00|38.00|100|GROMACS|General|guha|
950|171.65.103.153|p950_AKb17|3271|7.00|10.00|27.00|100|GROMACS|General|guha|
951|171.65.103.153|p951_AKb22|4304|8.00|12.00|36.00|100|GROMACS|General|guha|
952|171.65.103.153|p952_AKb27|6121|11.00|15.00|49.00|100|GROMACS|General|guha|
953|171.65.103.153|p953_AKb32|7562|13.00|19.00|61.00|100|GROMACS|General|guha|
954|171.65.103.153|p954_AKb37|9484|16.00|23.00|76.00|100|GROMACS|General|guha|
955|171.65.103.153|p955_AKb42|13412|21.00|31.00|106.00|100|GROMACS|General|guha|
956|171.65.103.153|p956_pa_nat_drf2|737|8.00|13.00|48.00|100|GROMACS|*Antibody Target|guha|
957|171.65.103.153|p957_pa_drf2|737|8.00|13.00|48.00|100|GROMACS|*Antibody Target|guha|
958|171.65.103.153|p958_pa_nat_drf4|737|8.00|13.00|48.00|100|GROMACS|*Antibody Target|guha|
959|171.65.103.153|p959_pa_drf4|737|8.00|13.00|48.00|100|GROMACS|*Antibody Target|guha|
960|171.65.103.153|p960_pa_nat_sf2|737|8.00|13.00|48.00|100|GROMACS|*Antibody Target|guha|
961|171.64.122.132|p961_pa_f31g_drf2|724|8.00|13.00|48.00|100|GROMACS|*Antibody Target|guha|
962|171.64.122.132|p962_fklig_popr|1135|1.00|8.00|28.00|100|DGROMACS|General|guha|
963|171.64.122.132|p963_fkcomp_popr|14917|1.00|6.00|23.00|50|DGROMACS|General|guha|
964|171.64.122.132|p964_fk-fstr-nprot-r|14836|3.00|23.00|84.00|100|DGROMACS|General|guha|
970|171.64.122.132|p970_fklig_dock|1261|22.00|33.00|122.00|100|DGROMACS|General|guha|
971|171.64.122.132|p971_fkcomp_dock|14923|15.00|23.00|84.00|100|DGROMACS|General|guha|
972|171.64.122.132|p972_fklig_dock_M24|1261|22.00|33.00|122.00|100|DGROMACS|General|guha|
973|171.64.122.132|p973_fkcomp_dock_M24|14923|15.00|23.00|84.00|100|DGROMACS|General|guha|
974|171.64.122.132|p974_fkcomp_boltz|14917|15.00|23.00|84.00|100|DGROMACS|General|guha|
975|171.64.122.132|p975_fk-fstr-nprot|14836|15.00|23.00|84.00|100|DGROMACS|General|guha|
976|171.64.122.132|p976_fkcomp_boltz2|14917|15.00|23.00|84.00|100|DGROMACS|General|guha|
977|171.64.122.132|p977_fk-fstr-nprot2|14836|10.00|23.00|84.00|100|DGROMACS|General|guha|
978|171.64.122.132|p978_fk-fstr-nprotS|14836|15.00|23.00|84.00|100|DGROMACS|General|guha|
979|171.64.122.132|p979_fk_boltzimp|1734|6.00|45.00|168.00|100|DGROMACS|General|guha|
980|171.64.122.132|p980_fk_bi_sdtogb|1734|9.00|17.00|138.00|100|GBGROMACS|General|guha|
981|171.64.122.132|p981_fk_bi_vfe|1734|6.00|45.00|168.00|100|DGROMACS|General|guha|
982|171.64.122.132|p982_fk_bi_vtogb|1734|9.00|17.00|138.00|100|GBGROMACS|General|guha|
983|171.64.122.132|p983_fk_bi_gb|1734|9.00|17.00|138.00|100|GBGROMACS|General|guha|
984|171.65.103.153|p984_fk-fstr-nprotS2|14836|12.00|23.00|84.00|100|DGROMACS|General|guha|
985|171.64.122.132|p985_fkcomp_pop|14917|1.00|6.00|23.00|100|DGROMACS|General|guha|
986|171.64.122.132|p986_fklig_pop|1135|1.00|8.00|28.00|100|DGROMACS|General|guha|
987|171.64.122.132|p987_fkligveq_pop|46|1.00|7.00|23.00|100|DGROMACS|General|guha|
988|171.64.122.132|p988_fkcomp_pop|14917|1.00|6.00|23.00|100|DGROMACS|General|guha|
989|171.64.122.132|p989_fklig_pop|1135|1.00|8.00|28.00|100|DGROMACS|General|guha|
990|171.64.122.132|p990_fkligveq_pop|46|1.00|7.00|23.00|100|DGROMACS|General|guha|
991|171.65.103.151|p991_longfkligand|2722|18.00|27.00|99.00|100|DGROMACS|General|mrshirts|
992|171.65.103.151|p992_longfkcomp|14908|24.00|35.00|130.00|100|DGROMACS|General|mrshirts|
993|171.65.103.151|p993_longfkcomp2|14908|22.00|33.00|122.00|100|DGROMACS|General|mrshirts|
994|171.65.103.151|p994_sundfkcomp|14908|24.00|35.00|130.00|100|DGROMACS|General|mrshirts|
995|171.65.103.151|p995_longfkligand|2722|18.00|27.00|99.00|100|DGROMACS|General|mrshirts|
996|171.65.103.151|p996_longfkcomp|14908|24.00|35.00|130.00|100|DGROMACS|General|mrshirts|
997|171.65.103.151|p997_sundfkcomp|14908|24.00|35.00|130.00|100|DGROMACS|N/A|mrshirts|
998|171.64.122.115|pAla7-4-ClTest|11455|0.00|11.00|10.00|10|GROMACS|N/A||
999|171.64.122.115|VILLIN_test|401|0.00|1.00|1.00|0||N/A||
1001|171.67.89.149|p1001_ppg10_350|43206|0.00|16.00|41.00|100|GROMACS|Osteogenesis imperfecta||
1002|171.67.89.149|p1002_ppg10_273|43206|0.00|16.00|41.00|100|GROMACS|Osteogenesis imperfecta||
1003|171.67.89.149|p1003_ppg10c_350|43209|0.00|16.00|41.00|100|GROMACS|Osteogenesis imperfecta||
1004|171.67.89.149|p1004_ppg10c_273|43209|0.00|16.00|41.00|100|GROMACS|Osteogenesis imperfecta||
1005|171.64.122.110|p1005_ppg10c_pfold|43209|0.00|16.00|41.00|100|GROMACS|Osteogenesis imperfecta||
1006|171.64.122.116|p1006_ppg10_pfold|0|12.00|18.00|57.00|100|GROMACS|Osteogenesis imperfecta||
1007|||0|0.00|0.00|0.00|0||Osteogenesis imperfecta||
1008|||0|0.00|0.00|0.00|0||Osteogenesis imperfecta||
1009|||0|0.00|0.00|0.00|0||Osteogenesis imperfecta||
1010|171.67.89.149|p1010_lzip_350|34341|0.00|14.00|36.00|100|GROMACS|General||
1011|171.67.89.149|p1011_lzip_273|34341|0.00|14.00|36.00|100|GROMACS|General||
1012|171.64.122.116|p1012_lzip_350|0|12.00|18.00|57.00|100|GROMACS|General||
1013|171.64.122.116|p1013_lzip_273|0|13.00|18.00|58.00|100|GROMACS|General||
1014|171.67.89.149|p1014_a21nat_289_dd19|132|9.00|13.00|39.00|100|GROMACS|General|esorin|
1015|171.67.89.149|p1015_a21unf_289_dd19|132|9.00|13.00|39.00|100|GROMACS|General|esorin|
1016|171.67.89.149|p1016_a21nat_321_dd19|132|9.00|13.00|32.00|100|GROMACS|General|esorin|
1017|171.67.89.149|p1017_a21unf_321_dd19|132|9.00|13.00|32.00|100|GROMACS|General|esorin|
1018|171.67.89.149|p1018_a21nat_353_dd19|132|9.00|13.00|39.00|100|GROMACS|General|esorin|
1019|171.67.89.149|p1019_a21unf_353_dd19|132|9.00|13.00|39.00|100|GROMACS|General|esorin|
1020|171.67.89.149|p1020_FSnat_273_99|6414|18.00|36.00|51.00|100|GROMACS|General||
1021|171.67.89.149|p1021_FSunf_273_99|6384|18.00|36.00|51.00|100|GROMACS|General||
1022|171.67.89.149|p1022_FSnat_337_99|6414|18.00|36.00|51.00|100|GROMACS|General||
1023|171.67.89.149|p1023_FSunf_337_99|6384|18.00|36.00|51.00|100|GROMACS|General||
1024|171.67.89.149|p1024_FSnat_273_GS|6414|18.00|36.00|51.00|100|GROMACS|General||
1025|171.67.89.149|p1025_FSunf_273_GS|6384|18.00|36.00|51.00|100|GROMACS|General||
1026|171.67.89.149|p1026_FSnat_305_GS|6414|18.00|36.00|51.00|100|GROMACS|General||
1027|171.67.89.149|p1027_FSunf_305_GS|6384|18.00|36.00|51.00|100|GROMACS|General||
1028|171.67.89.149|p1028_FSnat_337_GS|6414|18.00|36.00|51.00|100|GROMACS|General||
1029|171.67.89.149|p1029_FSunf_337_GS|6384|18.00|36.00|51.00|100|GROMACS|General||
1030|171.64.122.111|p1030_A21nat_305_94|6426|18.00|36.00|51.00|100|GROMACS|General||
1031|171.64.122.111|p1031_A21unf_305_94|6399|18.00|36.00|51.00|100|GROMACS|General||
1032|171.64.122.111|p1032_A21nat_337_94|6426|18.00|36.00|51.00|100|GROMACS|General||
1033|171.64.122.111|p1033_A21unf_337_94|6399|18.00|36.00|51.00|100|GROMACS|General||
1034|171.64.122.111|p1034_A21nat_305_99|6426|18.00|36.00|51.00|100|GROMACS|General||
1035|171.64.122.111|p1035_A21unf_305_99|6399|18.00|36.00|51.00|100|GROMACS|General||
1036|171.64.122.111|p1036_A21nat_337_99|6426|18.00|36.00|51.00|100|GROMACS|General||
1037|171.64.122.111|p1037_A21unf_337_99|6399|18.00|36.00|51.00|100|GROMACS|General||
1038|171.64.122.111|p1038_A21nat_305_GS|6426|18.00|36.00|51.00|100|GROMACS|General||
1039|171.64.122.111|p1039_A21unf_305_GS|6399|18.00|36.00|51.00|100|GROMACS|General||
1040|171.64.122.111|p1040_A21nat_337_GS|6426|18.00|36.00|51.00|100|GROMACS|General||
1041|171.64.122.111|p1041_A21unf_337_GS|6399|18.00|36.00|51.00|100|GROMACS|General||
1042|171.67.89.149|p1042_nat96_273|6414|13.00|18.00|59.00|100|GROMACS|General||
1043|171.67.89.149|p1043_unf96_273|6384|13.00|18.00|59.00|100|GROMACS|General||
1044|171.67.89.149|p1044_nat96_305|6414|13.00|18.00|59.00|100|GROMACS|General||
1045|171.67.89.149|p1045_unf96_305|6384|13.00|18.00|59.00|100|GROMACS|General||
